,CODGEO\DEP,medecins,population,FCA,desert_medical
284,77296,0.0,17982.0,6.256908699444426e-05,False
285,77297,0.0,327.0,3.687009018132911e-05,False
286,77298,0.0,445.0,2.8589608152350002e-05,True
287,77300,0.0,601.0,3.778837561705661e-05,False
288,77301,0.0,322.0,3.295078472578816e-05,True
289,77302,0.0,1943.0,3.687947244577459e-05,False
290,77303,0.0,236.0,3.333056146491458e-05,True
291,77304,0.0,25.0,3.483736227595284e-05,False
292,77305,2.0,21888.0,4.592284100060099e-05,False
293,77306,0.0,497.0,5.0026706723306855e-05,False
294,77307,2.0,14017.0,5.367336285095743e-05,False
295,77308,0.0,728.0,4.284318513858354e-05,False
296,77309,1.0,1751.0,4.427768148994479e-05,False
297,77310,0.0,305.0,3.1164524297800855e-05,True
298,77311,0.0,1405.0,3.1897263003447806e-05,True
299,77312,0.0,2640.0,3.754821806566027e-05,False
300,77313,0.0,259.0,3.350336267219554e-05,True
301,77314,0.0,239.0,3.350172359797419e-05,True
302,77315,0.0,3740.0,4.0147972666389035e-05,False
303,77316,0.0,12507.0,3.8000404563578414e-05,False
304,77317,0.0,5104.0,3.791338556129244e-05,False
305,77318,0.0,1423.0,4.0343479958111e-05,False
306,77319,0.0,142.0,3.3233373959167186e-05,True
307,77320,0.0,5972.0,3.758584666875769e-05,False
308,77321,0.0,667.0,2.919488758362347e-05,True
309,77322,0.0,3212.0,4.771236792803563e-05,False
310,77323,0.0,1476.0,4.890534717208921e-05,False
311,77325,0.0,360.0,2.860905011063821e-05,True
312,77326,0.0,6262.0,5.802576336395462e-05,False
313,77327,0.0,8904.0,3.371051915337971e-05,True
314,77328,0.0,419.0,3.925420916580154e-05,False
315,77329,0.0,687.0,3.41051597702467e-05,False
316,77330,0.0,6549.0,4.227913779569043e-05,False
317,77331,0.0,428.0,3.5008836633011324e-05,False
318,77332,0.0,293.0,4.602052210554481e-05,False
319,77333,0.0,12966.0,3.4546534255360584e-05,False
320,77335,0.0,3595.0,4.209619635422372e-05,False
321,77336,0.0,1195.0,4.5028966039258824e-05,False
322,77337,0.0,15750.0,6.186201911560051e-05,False
323,77338,0.0,595.0,3.464240667423151e-05,False
324,77339,0.0,1829.0,4.1715436596627486e-05,False
325,77340,0.0,606.0,3.424414488008002e-05,False
326,77341,0.0,382.0,2.924811263584613e-05,True
327,77342,0.0,109.0,3.435687084484261e-05,False
328,77343,0.0,386.0,3.603403678235364e-05,False
329,77344,0.0,2448.0,4.1745201593682815e-05,False
330,77345,0.0,660.0,3.294474996210106e-05,True
331,77347,0.0,855.0,2.8321938206941426e-05,True
332,77348,0.0,237.0,3.497049052555388e-05,False
333,77349,0.0,6737.0,4.7644451196985115e-05,False
334,77350,0.0,20712.0,5.5884768521129224e-05,False
335,77352,0.0,1951.0,4.4060438219776854e-05,False
336,77353,0.0,444.0,3.389454859746816e-05,False
337,77354,0.0,951.0,3.7802736836952084e-05,False
338,77355,0.0,167.0,2.7587326099572274e-05,True
339,77356,0.0,45.0,3.0325847456902584e-05,True
340,77357,0.0,845.0,3.445650046590719e-05,False
341,77358,0.0,1340.0,4.202220736339825e-05,False
342,77359,0.0,2007.0,4.550022414141197e-05,False
343,77360,0.0,392.0,3.682244403748985e-05,False
344,77361,0.0,461.0,3.725966233969825e-05,False
345,77363,0.0,1569.0,5.5282633985695136e-05,False
346,77364,0.0,257.0,4.130243407706133e-05,False
347,77365,0.0,624.0,3.6963581758558324e-05,False
348,77366,0.0,289.0,4.069377338842171e-05,False
349,77367,0.0,279.0,3.805502006574526e-05,False
350,77368,0.0,508.0,3.3501930300762684e-05,True
351,77369,0.0,759.0,4.065765777995903e-05,False
352,77370,0.0,783.0,3.661839861652083e-05,False
353,77371,0.0,2990.0,3.652641866978965e-05,False
354,77372,0.0,4168.0,5.36759507892904e-05,False
355,77373,8.0,37579.0,7.839927255416684e-05,False
356,77374,0.0,2154.0,5.451463475760534e-05,False
357,77376,0.0,797.0,4.5371003798769394e-05,False
358,77377,0.0,2310.0,4.93008972931047e-05,False
359,77378,0.0,3254.0,5.051996449335008e-05,False
360,77379,2.0,12115.0,4.647679629784217e-05,False
361,77380,0.0,321.0,3.9578235519589894e-05,False
362,77381,0.0,661.0,3.4713152135138307e-05,False
363,77382,0.0,5443.0,4.0440785504222884e-05,False
364,77383,0.0,828.0,3.3149576636340616e-05,True
365,77384,0.0,1954.0,5.6724646948714795e-05,False
366,77385,0.0,2298.0,3.245304675906971e-05,True
367,77386,0.0,607.0,4.011244868710593e-05,False
368,77387,0.0,468.0,3.465780483785965e-05,False
369,77388,0.0,822.0,3.762859749186355e-05,False
370,77389,1.0,3820.0,6.358604564771591e-05,False
371,77390,0.0,22643.0,6.056332448057543e-05,False
372,77391,0.0,491.0,3.4351736331922956e-05,False
373,77392,0.0,916.0,4.7398116703514625e-05,False
374,77393,0.0,2826.0,3.7434148628333254e-05,False
375,77394,0.0,3095.0,5.498247866771343e-05,False
376,77395,0.0,120.0,3.6115091950526006e-05,False
377,77396,0.0,100.0,3.155641942078863e-05,True
378,77397,0.0,1859.0,3.405670580816874e-05,False
379,77398,0.0,722.0,3.241198046082575e-05,True
380,77400,0.0,1774.0,3.5877092270758636e-05,False
381,77401,0.0,671.0,3.667746830411175e-05,False
382,77402,0.0,339.0,3.3340941293344894e-05,True
383,77403,0.0,808.0,3.7176291680831016e-05,False
384,77404,0.0,1808.0,3.088150182155501e-05,True
385,77405,0.0,1955.0,3.240438141396768e-05,True
